レポート開始日,レポート終了日,広告名,広告配信,結果,結果インジケーター,結果の単価,広告セットの予算,広告セットの予算タイプ,"消化金額 (JPY)",インプレッション,リーチ,フリークエンシー,"CPM(インプレッション単価) (JPY)",リンククリック,終了日時,アトリビューション設定,入札,入札タイプ,前回の大きな変更,品質ランキング,エンゲージメント率ランキング,コンバージョン率ランキング,広告セット名
2026-03-09,2026-04-07,Olive-B1-休日の寂しさ,not_delivering,20,actions:offsite_conversion.fb_pixel_complete_registration,792.45,キャンペーン予算を使用,0,15849,9141,4007,2.281258,1733.836561,504,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Olive-C2-安心感,not_delivering,1,actions:offsite_conversion.fb_pixel_complete_registration,2159,キャンペーン予算を使用,0,2159,559,429,1.30303,3862.254025,29,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Massive-B3-定年前の焦り,active,1,actions:offsite_conversion.fb_pixel_complete_registration,2125,キャンペーン予算を使用,0,2125,1248,1203,1.037406,1702.724359,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-C1-30秒訴求,active,4,actions:offsite_conversion.fb_pixel_complete_registration,1422.25,キャンペーン予算を使用,0,5689,2615,2162,1.209528,2175.525813,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-D1-アプリ疲れ,active,3,actions:offsite_conversion.fb_pixel_complete_registration,525.33333333,キャンペーン予算を使用,0,1576,821,695,1.181295,1919.610231,29,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-B1-休日の寂しさ,active,37,actions:offsite_conversion.fb_pixel_complete_registration,1076.40540541,キャンペーン予算を使用,0,39827,24680,10772,2.291125,1613.735818,1354,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-A3-ギャップ訴求,active,21,actions:offsite_conversion.fb_pixel_complete_registration,1109.0952381,キャンペーン予算を使用,0,23291,8617,5260,1.638213,2702.912847,654,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-03,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-00,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-b,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-d,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-e,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-h,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-i,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-l,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-n,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-q,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-t,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-s,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,"Massive CV 0703 02",not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,0,ABSOLUTE_OCPM,2025-07-03T10:58:31+0900,―,―,―,"Massive CV 0703"
2026-03-09,2026-04-07,Massive-ad-y,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-a01,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Travis-ad-020,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
2026-03-09,2026-04-07,Travis-ad-021,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
2026-03-09,2026-04-07,Olive-ad-o,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,"Olive-ad-k - コピー",inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Travis-A1-ストレート訴求,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
